prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
23459,24,68291020,Hypovase benign prostatic hyperplasia 2mg Tablet (Pfizer Ltd),Prazosin hydrochloride,2mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
25047,45,68287020,Hypovase benign prostatic hyperplasia 500microgram Tablet (Pfizer Ltd),Prazosin hydrochloride,500microgram,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
26693,14,68286020,Hypovase benign prostatic hyperplasia bd BD Starter pack (Pfizer Ltd),Prazosin Hydrochloride,,Not applicable,Route of administration not applicable,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
12518,674,60761020,Hypovase tablets B.D. starter pack (Pfizer Ltd),,,Not applicable,Route of administration not applicable,00000000,Unknown,February 2009
2347,10297,68066020,Hytrin 10mg Tablet (Abbott Laboratories Ltd),Terazosin hydrochloride,10mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
37428,1133,93864020,Hytrin 10mg tablets (AMCo),Terazosin hydrochloride,10mg,Tablet,Oral,07040150,Alpha-blockers (in Urinary Retention),February 2009
8077,33958,68062020,Hytrin 2mg Tablet (Abbott Laboratories Ltd),Terazosin hydrochloride,2mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
36649,1869,93860020,Hytrin 2mg tablets (AMCo),Terazosin hydrochloride,2mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
71419,3,01332020,Hytrin 2mg tablets (Waymade Healthcare Plc),Terazosin hydrochloride,2mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),January 2018
2346,23715,68063020,Hytrin 5mg Tablet (Abbott Laboratories Ltd),Terazosin hydrochloride,5mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
36780,1973,93862020,Hytrin 5mg tablets (AMCo),Terazosin hydrochloride,5mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
2348,1153,51017020,Hytrin bph 10mg Tablet (Amdipharm Plc),Terazosin hydrochloride,10mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
16201,5393,51572020,Hytrin bph 2mg Tablet (Amdipharm Plc),Terazosin hydrochloride,2mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
5337,5019,51573020,Hytrin bph 5mg Tablet (Amdipharm Plc),Terazosin hydrochloride,5mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
2345,1318,51571020,Hytrin BPH tablets starter pack (AMCo),,,Not applicable,Route of administration not applicable,07040150,Alpha-blockers (in Urinary Retention),February 2009
8076,1804,72781020,Hytrin tablets starter pack (AMCo),,,Not applicable,Route of administration not applicable,07040150,Alpha-blockers (in Urinary Retention),February 2009
2816,348069,69659020,Indoramin 20mg tablets,Indoramin hydrochloride,20mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
5815,17428,63556020,Indoramin 25mg tablets,Indoramin hydrochloride,25mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
9019,1465,63557020,Indoramin 50mg Tablet,Indoramin Hydrochloride,50mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
45040,113,99157020,Larbex XL 4mg tablets (Teva UK Ltd),Doxazosin mesilate,4mg,Modified-release tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),April 2011
60316,0,54584020,Prazosin 1mg Tablet (Approved Prescription Services Ltd),Prazosin hydrochloride,1mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),July 2014
591,124710,66154020,Prazosin 1mg tablets,Prazosin hydrochloride,1mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
41721,2,54210020,Prazosin 1mg tablets (A A H Pharmaceuticals Ltd),Prazosin hydrochloride,1mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),March 2010
46922,22,54223020,Prazosin 1mg tablets (IVAX Pharmaceuticals UK Ltd),Prazosin hydrochloride,1mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),March 2012
445,1337,74153020,Prazosin 1mg tablets and Prazosin 500microgram tablets,,,Not applicable,Route of administration not applicable,00000000,Unknown,February 2009
726,82309,66155020,Prazosin 2mg tablets,Prazosin hydrochloride,2mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
41651,20,54583020,Prazosin 500microgram Tablet (Approved Prescription Services Ltd),Prazosin hydrochloride,500microgram,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),March 2010
1455,83413,66153020,Prazosin 500microgram tablets,Prazosin hydrochloride,500microgram,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
