prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,steroid_code,steroid_code2,aap_code,lld_code,lld_code2
9639,319994002,76495020,335157,Fenofibrate micronised 160mg tablets,Fenofibrate micronised,160mg,Tablet,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
74009,5524911000001103,02406020,106,Bezalip Mono 400mg modified-release tablets (Dowelhurst Ltd),Bezafibrate,400mg,Modified-release tablet,Oral,02120300,Fibrates,December 2018,0,0,0,1,0
9716,2950911000001103,68384020,52028,Supralip 160mg tablets (Viatris UK Healthcare Ltd),Fenofibrate micronised,160mg,Tablet,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
39576,130711000001102,96389020,6447,Bezalip 200mg tablets (Teva UK Ltd),Bezafibrate,200mg,Tablet,Oral,02120300,Fibrates,May 2009,0,0,0,1,0
53250,16207911000001106,02566020,333,Modalim 100mg tablets (Lexon (UK) Ltd),Ciprofibrate,100mg,Tablet,Oral,02120300,Fibrates,January 2013,0,0,0,1,0
82511,16563811000001100,10714020,118,Niaspan 500mg modified-release tablets (Mawdsley-Brooks & Company Ltd),Nicotinic acid,500mg,Modified-release tablet,Oral,02120500,Nicotinic Acid Group,January 2021,0,0,0,1,0
75806,3258211000001103,71237020,5,Colestyramine 4g oral powder sachets sugar free (A A H Pharmaceuticals Ltd),Colestyramine anhydrous,4gram,Powder,Oral,01090200/02120100,Bile Acid Sequestrants/Bile Acid Sequestrants - Lipid-Regulating Products,April 2019,0,0,0,1,0
78285,30840811000001108,60218021,45,Praluent 75mg/1ml solution for injection pre-filled pens (Sanofi),Alirocumab,75mg/1ml,Solution for injection,Subcutaneous,02120700,Other Lipid-Regulating Products,November 2019,0,0,0,0,1
86038,19612311000001100,10719020,0,Ezetrol 10mg tablets (DE Pharmaceuticals),Ezetimibe,10mg,Tablet,Oral,02120200,Ezetimibe,April 2022,0,0,0,1,0
7544,4993911000001105,87155020,2398,Niaspan 750mg modified-release tablets (Abbott Laboratories Ltd),Nicotinic acid,750mg,Modified-release tablet,Oral,02120500,Nicotinic Acid Group,February 2009,0,0,0,1,0
14379,2957011000001101,86194020,6630,Lipantil Micro 67 capsules (Viatris UK Healthcare Ltd),Fenofibrate micronised,67mg,Capsule,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
1477,49535001000027104,54229020,11555,Atromid -s 500mg Capsule (AstraZeneca UK Ltd),Clofibrate,500mg,Capsule,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
1322,102975001000027100,61456020,8316,Clofibrate 500mg capsules,Clofibrate,500mg,Capsules,Oral,02120300,Fibrates,February 2009,0,0,0,1,0
