prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
35302,209,91890020,Captopril 12.5mg/5ml oral suspension,Captopril,2.5mg/1ml,Oral suspension,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
69600,1,19229020,Captopril 1mg/5ml oral suspension,Captopril,200microgram/1ml,Oral suspension,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,May 2017
43507,21,56634020,Captopril 25mg Tablet (Generics (UK) Ltd),Captopril,25mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,September 2010
34562,55,56639020,Captopril 25mg Tablet (IVAX Pharmaceuticals UK Ltd),Captopril,25mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
34936,54,56686020,Captopril 25mg Tablet (Lagap),Captopril,25mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
1143,749220,60378020,Captopril 25mg tablets,Captopril,25mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
43649,19,56644020,Captopril 25mg tablets (A A H Pharmaceuticals Ltd),Captopril,25mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,October 2010
41617,18,56802020,Captopril 25mg tablets (Actavis UK Ltd),Captopril,25mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,March 2010
37655,72,59733020,Captopril 25mg tablets (Teva UK Ltd),Captopril,25mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
11641,1203,68130020,Captopril 25mg with Hydrochlorothiazide 12.5mg tablets,Captopril/Hydrochlorothiazide,25mg + 12.5mg,Tablets,Oral,02020100/02050501,Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors,February 2009
52499,241,19239020,Captopril 25mg/5ml oral solution,Captopril,5mg/1ml,Oral solution,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,January 2013
64739,10,19240020,Captopril 25mg/5ml oral solution (Special Order),Captopril,5mg/1ml,Oral solution,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,November 2015
59915,749,21645021,Captopril 25mg/5ml oral solution sugar free,Captopril,5mg/1ml,Oral solution,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,May 2014
54544,44,19241020,Captopril 25mg/5ml oral suspension,Captopril,5mg/1ml,Oral suspension,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,April 2013
39512,963,96425020,Captopril 25mg/5ml oral suspension,Captopril,25mg/5ml,Oral Suspension,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,April 2009
52293,17,20854020,Captopril 2mg capsules,Captopril,2mg,Capsule,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,January 2013
15958,1843,82305020,Captopril 2mg tablets,Captopril,2mg,Tablets,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
36742,14,93652020,Captopril 2mg/5ml oral suspension,Captopril,2mg/5ml,Oral Suspension,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
17633,867,87231020,Captopril 3mg/5ml oral solution,Captopril,3mg/5ml,Oral Liquid,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
217,1307,03900007,CAPTOPRIL 4 MG/ML LIQ,,,,,00000000,Unknown,February 2009
69599,1,19279020,Captopril 500micrograms/5ml oral suspension,Captopril,100microgram/1ml,Oral suspension,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,May 2017
34719,21,56635020,Captopril 50mg Tablet (Generics (UK) Ltd),Captopril,50mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
34937,16,56640020,Captopril 50mg Tablet (IVAX Pharmaceuticals UK Ltd),Captopril,50mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
1807,408832,60379020,Captopril 50mg tablets,Captopril,50mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
41743,24,59737020,Captopril 50mg tablets (Teva UK Ltd),Captopril,50mg,Tablet,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,March 2010
10902,8957,68129020,Captopril 50mg with Hydrochlorothiazide 25mg tablets,Captopril/Hydrochlorothiazide,50mg + 25mg,Tablets,Oral,02020100/02050501,Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors,February 2009
46851,359,00417021,Captopril 5mg/5ml oral solution,Captopril,1mg/1ml,Oral solution,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2012
59699,631,21647021,Captopril 5mg/5ml oral solution sugar free,Captopril,1mg/1ml,Oral solution,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,April 2014
17624,2765,88718020,Captopril 5mg/5ml oral suspension,Captopril,1mg/1ml,Oral suspension,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
33336,25,69419020,Captopril 5mg/5ml Oral suspension (Eldon Laboratories),Captopril,1mg/1ml,Oral suspension,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2009
44527,1137,98847020,Captopril 5mg/ml oral solution sugar free,Captopril,5mg/1ml,Oral solution,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,February 2011
43432,16,92446020,Captopril 6.25mg tablets,Captopril,6.25mg,Tablets,Oral,02050501,Angiotensin-converting Enzyme Inhibitors,September 2010
