prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,intdrug
42819,163525001000027100,69923020,26,Diltiazem xl 240mg Capsule (Hillcross Pharmaceuticals Ltd),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,July 2010,1
50071,204365001000027100,77458020,0,Fenofibrate 160mg Tablet (Teva UK Ltd),Fenofibrate micronised,160mg,Tablet,Oral,02120300,Fibrates,January 2013,1
11810,41787211000001110,64112020,1586,Fluconazole 200mg/5ml oral suspension,Fluconazole,40mg/1ml,Oral suspension,Oral,05020100,Triazole Antifungals,February 2009,1
31783,9835611000001100,81036020,1,Fenogal 200mg capsules (Genus Pharmaceuticals Ltd),Fenofibrate,200mg,Capsule,Oral,02120300,Fibrates,February 2009,1
34691,113315001000027100,62856020,12,Warfarin 5mg Tablet (Regent Laboratories Ltd),Warfarin sodium,5mg,Tablet,Oral,02080200,Oral Anticoagulants,February 2009,1
48023,14694411000001102,75954020,3,Clarithromycin 500mg tablets (Actavis UK Ltd),Clarithromycin,500mg,Tablet,Oral,05010500,Macrolides,November 2012,1
48763,17856611000001100,07440020,675,Ciclosporin 25mg capsules (Phoenix Healthcare Distribution Ltd),Ciclosporin,25mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,January 2013,1
53752,739511000001109,02297020,2,Warfarin 1mg tablets (Alliance Healthcare (Distribution) Ltd),Warfarin sodium,1mg,Tablet,Oral,02080200,Oral Anticoagulants,February 2013,1
82324,17587211000001108,08416020,0,Arava 20mg tablets (Necessity Supplies Ltd),Leflunomide,20mg,Tablet,Oral,10010302,Drugs Affecting The Immune Response In Rheumatic Disease,January 2021,1
76559,32905811000001108,69937021,1,Norvir 100mg oral powder sachets (AbbVie Ltd),Ritonavir,100mg,Powder,Oral,05030151,Protease Inhibitors,June 2019,1
532,10435001000027102,49309020,33944,Erythroped 250mg/5ml Oral suspension (Abbott Laboratories Ltd),Erythromycin ethyl succinate,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,February 2009,1
43409,751611000001108,56202020,649,Warfarin 5mg tablets (A A H Pharmaceuticals Ltd),Warfarin sodium,5mg,Tablet,Oral,02080200,Oral Anticoagulants,September 2010,1
20579,3691211000001101,85903020,4629,Tarka modified-release capsules (Abbott Laboratories Ltd),Verapamil hydrochloride/Trandolapril,180mg + 2mg,Modified-release capsule,Oral,02050501/02060200,Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)/Calcium-Channel Blockers,February 2009,1
3118,181545001000027100,72560020,135608,Adizem sr 90mg Modified-release capsule (Napp Pharmaceuticals Ltd),Diltiazem hydrochloride,90mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
30177,273611000001101,61118020,533,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free (IVAX Pharmaceuticals UK Ltd),Erythromycin ethyl succinate,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,February 2009,1
1995,71715001000027104,57177020,168767,Diltiazem 12hr 120mg modified-release capsules,Diltiazem Hydrochloride,120mg,12 Hour Modified Release Capsules,Oral,02060200,Calcium-Channel Blockers,February 2009,1
62007,24408011000001100,24098021,371,Leflunomide 15mg tablets,Leflunomide,15mg,Tablet,Oral,10010302,Drugs Affecting The Immune Response In Rheumatic Disease,January 2015,1
62897,18103211000001100,05922020,0,Clarithromycin 250mg/5ml oral suspension (Phoenix Healthcare Distribution Ltd),Clarithromycin,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,April 2015,1
83929,16547611000001102,77079020,0,Fenofibrate micronised 267mg capsules (Teva UK Ltd),Fenofibrate micronised,267mg,Capsule,Oral,02120300,Fibrates,June 2021,1
58787,883011000001107,02305020,1,Warfarin 5mg tablets (Alliance Healthcare (Distribution) Ltd),Warfarin sodium,5mg,Tablet,Oral,02080200,Oral Anticoagulants,February 2014,1
59002,13585711000001104,02409020,0,Bezafibrate 400mg modified-release tablets (DE Pharmaceuticals),Bezafibrate,400mg,Modified-release tablet,Oral,02120300,Fibrates,March 2014,1
74029,5619211000001106,01870020,129,Tildiem Retard 90mg tablets (Dowelhurst Ltd),Diltiazem hydrochloride,90mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,December 2018,1
61830,15080411000001108,05896020,0,Clarithromycin 125mg/5ml oral suspension (Sigma Pharmaceuticals Plc),Clarithromycin,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,December 2014,1
70950,21979811000001104,47195020,2,Fenofibrate micronised 200mg capsules (Waymade Healthcare Plc),Fenofibrate micronised,200mg,Capsule,Oral,02120300,Fibrates,December 2017,1
73726,584211000001100,02301020,1,Warfarin 3mg tablets (Alliance Healthcare (Distribution) Ltd),Warfarin sodium,3mg,Tablet,Oral,02080200,Oral Anticoagulants,November 2018,1
55428,21854511000001108,47451020,1,Clarithromycin 250mg/5ml oral suspension (Waymade Healthcare Plc),Clarithromycin,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,May 2013,1
41378,14998911000001104,96411020,316,Ranexa 750mg modified-release tablets (A. Menarini Farmaceutica Internazionale SRL),Ranolazine,750mg,Modified-release tablet,Oral,02060300,Other Anti-Angina Products,March 2010,1
34526,347911000001109,62804020,70,Warfarin 3mg tablets (Viatris UK Healthcare Ltd),Warfarin sodium,3mg,Tablet,Oral,02080200,Oral Anticoagulants,February 2009,1
73642,10138911000001108,72644020,0,Warfarin 1mg tablets (Zentiva Pharma UK Ltd),Warfarin sodium,1mg,Tablet,Oral,02080200,Oral Anticoagulants,November 2018,1
2663,181565001000027100,72565020,8234,Diltiazem 240mg modified-release capsules,Diltiazem Hydrochloride,240mg,Modified Release Capsules,Oral,02060200,Calcium-Channel Blockers,February 2009,1
13027,886511000001107,84423020,47274,Viazem XL 240mg capsules (Thornton & Ross Ltd),Diltiazem hydrochloride,240mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
15006,28445001000027104,51559020,804,Sinthrome 4mg Tablet (Alliance Pharmaceuticals Ltd),Acenocoumarol,4mg,Tablet,Oral,02080200,Oral Anticoagulants,February 2009,1
84042,36621811000001104,85149021,0,Clarithromycin 250mg/5ml oral suspension (Accord-UK Ltd),Clarithromycin,50mg/1ml,Oral suspension,Oral,05010500,Macrolides,June 2021,1
67293,18633611000001108,00876020,188,Half Securon SR 120mg tablets (Mawdsley-Brooks & Company Ltd),Verapamil hydrochloride,120mg,Modified-release tablet,Oral,02060200,Calcium-Channel Blockers,August 2016,1
36879,11961711000001104,93932020,2647,Rasilez 300mg tablets (Noden Pharma DAC),Aliskiren hemifumarate,300mg,Tablet,Oral,02050503,Renin Inhibitors,February 2009,1
14429,160695001000027100,69485020,48,Erythromycin 125mg sprinkle capsules,Erythromycin,125mg,Capsules,Oral,05010500,Macrolides,February 2009,1
86445,28279311000001104,44174021,1,Aprepitant 40mg/5ml oral suspension,Aprepitant,8mg/1ml,Oral suspension,Oral,04065700,Products Used Against Nausea And Vertigo - Neurokinin Receptor Antagonist,July 2022,1
64857,28338911000001104,43098021,182,Vanquoral 100mg capsules (Teva UK Ltd),Ciclosporin,100mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,December 2015,1
81269,33686711000001100,73490021,2,Venetoclax 50mg tablets,Venetoclax,50mg,Tablet,Oral,08010500,Other Antineoplastic Drugs,July 2020,1
4231,319211000001101,74678020,143144,Neoral 50mg capsules (Novartis Pharmaceuticals UK Ltd),Ciclosporin,50mg,Capsule,Oral,08020200/10010302/13050300,Corticosteroids And Other Immunosuppressants/Drugs Affecting The Immune Response In Rheumatic Disease/Drugs Affecting The Immune Response For Eczema And Psoriasis,February 2009,1
33944,9526011000001100,71743020,1,Bezafibrate 200mg tablets (Teva UK Ltd),Bezafibrate,200mg,Tablet,Oral,02120300,Fibrates,February 2009,1
18404,4772111000001102,49568020,5769,Diltiazem 60mg modified-release capsules (A A H Pharmaceuticals Ltd),Diltiazem hydrochloride,60mg,Modified-release capsule,Oral,02060200,Calcium-Channel Blockers,February 2009,1
62172,25290611000001104,29553021,285253,Empagliflozin 25mg tablets,Empagliflozin,25mg,Tablet,Oral,06010205,SGLT2 Inhibitors (Gliflozins),January 2015,1
61001,9155811000001104,05893020,0,Clarithromycin 125mg/5ml oral suspension (Kent Pharma (UK) Ltd),Clarithromycin,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,August 2014,1
79562,36621611000001104,85308021,0,Clarithromycin 125mg/5ml oral suspension (Accord-UK Ltd),Clarithromycin,25mg/1ml,Oral suspension,Oral,05010500,Macrolides,January 2020,1
2453,155455001000027100,68603020,25272,Diltiazem 60mg modified-release capsules,Diltiazem Hydrochloride,60mg,Modified Release Capsules,Oral,02060200,Calcium-Channel Blockers,February 2009,1
35851,7458711000001103,69369020,30,Fluconazole 50mg capsules (Ranbaxy (UK) Ltd),Fluconazole,50mg,Capsule,Oral,05020100,Triazole Antifungals,February 2009,1
