"prodcode","productname","drugsubstance","bnfcode","bnfchapter","type","label"
8380,"Lescol 20mg capsules (Novartis Pharmaceuticals UK Ltd)","Fluvastatin sodium","02120400","Statins",2,"fluvastatin"
9153,"Lescol 40mg capsules (Novartis Pharmaceuticals UK Ltd)","Fluvastatin sodium","02120400","Statins",2,"fluvastatin"
9897,"Rosuvastatin 40mg tablets","Rosuvastatin calcium","02120400","Statins",4,"rosuvastatin"
9920,"Simvador 20mg tablets (Discovery Pharmaceuticals)","Simvastatin","02120400","Statins",5,"simvastatin"
9930,"Crestor 40mg tablets (AstraZeneca UK Ltd)","Rosuvastatin calcium","02120400","Statins",4,"rosuvastatin"
11627,"Fluvastatin 80mg modified-release tablets","Fluvastatin sodium","02120400","Statins",2,"fluvastatin"
13041,"Simvador 10mg tablets (Discovery Pharmaceuticals)","Simvastatin","02120400","Statins",5,"simvastatin"
15252,"Crestor 20mg tablets (AstraZeneca UK Ltd)","Rosuvastatin calcium","02120400","Statins",4,"rosuvastatin"
17683,"Lipitor 80mg tablets (Pfizer Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
17688,"Crestor 5mg tablets (AstraZeneca UK Ltd)","Rosuvastatin calcium","02120400","Statins",4,"rosuvastatin"
22579,"Zocor 80mg tablets (Merck Sharp & Dohme Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
31930,"Zocor heart-pro 10mg Tablet (McNeil Products Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
32909,"Simvastatin 80mg tablets (A A H Pharmaceuticals Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
32921,"Pravastatin 10mg Tablet (Dr Reddy's Laboratories (UK) Ltd)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
33082,"Simvastatin 20mg tablets (A A H Pharmaceuticals Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
34312,"Simvastatin 20mg tablets (Mylan)","Simvastatin","02120400","Statins",5,"simvastatin"
34316,"Simvastatin 20mg tablets (Teva UK Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
34353,"Simvastatin 40mg tablets (Mylan)","Simvastatin","02120400","Statins",5,"simvastatin"
34366,"Simvastatin 20mg tablets (IVAX Pharmaceuticals UK Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
34376,"Simvastatin 40mg tablets (Teva UK Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
34381,"Simvastatin 40mg tablets (IVAX Pharmaceuticals UK Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
34476,"Simvastatin 20mg Tablet (Ratiopharm UK Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
34481,"Simvastatin 10mg tablets (IVAX Pharmaceuticals UK Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
34502,"Simvastatin 40mg tablets (A A H Pharmaceuticals Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
34535,"Simvastatin 10mg tablets (Mylan)","Simvastatin","02120400","Statins",5,"simvastatin"
34545,"Simvastatin 40mg Tablet (Ratiopharm UK Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
34560,"Simvastatin 10mg Tablet (Ratiopharm UK Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
34746,"Simvastatin 20mg Tablet (Niche Generics Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
34814,"Simvastatin 20mg tablets (Wockhardt UK Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
34820,"Pravastatin 40mg tablets (A A H Pharmaceuticals Ltd)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
34879,"Simvastatin 40mg Tablet (Niche Generics Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
34891,"Simvastatin 20mg tablets (Kent Pharmaceuticals Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
34907,"Simvastatin 40mg tablets (Wockhardt UK Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
34955,"Simvastatin 10mg tablets (A A H Pharmaceuticals Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
34969,"Simvastatin 40mg tablets (Actavis UK Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
