prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,ap_code
62978,24108111000001100,23054021,6,Clopidogrel 75mg tablets (Sandoz Ltd),Clopidogrel,75mg,Tablet,Oral,02090000,Antiplatelet Products,April 2015,1
38349,429540001,94934020,1078,Clopidogrel 300mg tablets,Clopidogrel hydrogen sulfate,300mg,Tablet,Oral,02090000,Antiplatelet Products,February 2009,1
56807,15926111000001104,76752020,61,Clopidogrel 75mg tablets (Teva UK Ltd),Clopidogrel,75mg,Tablet,Oral,02090000,Antiplatelet Products,August 2013,1
66840,31948811000001108,62201021,42,Dipyridamole 200mg/5ml oral suspension sugar free,Dipyridamole,40mg/1ml,Oral suspension,Oral,02090000,Antiplatelet Products,July 2016,1
76589,17217211000001100,02377020,58,Clopidogrel 75mg tablets (Krka UK Ltd),Clopidogrel,75mg,Tablet,Oral,02090000,Antiplatelet Products,June 2019,1
43679,257005001000027100,96736020,1,Flamasacard 162.5mg Modified-release capsule (Abbey Pharmaceuticals Ltd),Aspirin,162.5mg,Modified-Release Capsule,Oral,02090000,Antiplatelet Products,October 2010,1
60693,12012211000001104,30275020,3,Aspirin 15mg/5ml oral solution,Aspirin,3mg/1ml,Oral solution,Oral,02090000/04070100/04070401/10010100,Antiplatelet Products/Non-Opioid And Compound Analgesics/Acute Migraine/Non-Steroidal Anti-Inflammatory Drugs,August 2014,1
79306,36903411000001110,86771021,47,Clopidogrel 5mg/5ml oral solution,Clopidogrel hydrogen sulfate,1mg/1ml,Oral solution,Oral,02090000,Antiplatelet Products,December 2019,1
49060,595211000001103,02342020,11,Aspirin 75mg dispersible tablets (Alliance Healthcare (Distribution) Ltd),Aspirin,75mg,Dispersible tablet,Oral,02090000,Antiplatelet Products,January 2013,1
34942,139105001000027100,66393020,18,Aspirin 75mg Dispersible tablet (Nucare Plc),Aspirin,75mg,Dispersible tablet,Oral,02090000,Antiplatelet Products,February 2009,1
65027,28365611000001108,44190021,1,Bisoprolol 5mg / Aspirin 100mg capsules,Bisoprolol fumarate/Aspirin,5mg + 100mg,Capsule,Oral,02040000/02090000,Beta-Adrenoceptor Blockers/Antiplatelet Products,December 2015,1
45576,704465002,99283020,228342,Ticagrelor 90mg tablets,Ticagrelor,90mg,Tablet,Oral,02090000,Antiplatelet Products,June 2011,1
66784,24435511000001108,23691021,660,Attia 200mg modified-release capsules (Dr Reddy's Laboratories (UK) Ltd),Dipyridamole,200mg,Modified-release capsule,Oral,02090000,Antiplatelet Products,July 2016,1
31953,163411000001106,58872020,21828,Aspirin 75mg dispersible tablets (IVAX Pharmaceuticals UK Ltd),Aspirin,75mg,Dispersible tablet,Oral,02090000,Antiplatelet Products,February 2009,1
77079,21931011000001108,47186020,2,Dipyridamole 25mg tablets (Waymade Healthcare Plc),Dipyridamole,25mg,Tablet,Oral,02090000,Antiplatelet Products,July 2019,1
46891,8426611000001103,00396021,1773,Clopidogrel 75mg/5ml oral suspension,Clopidogrel hydrogen sulfate,15mg/1ml,Oral suspension,Oral,02090000,Antiplatelet Products,March 2012,1
28810,167855001000027100,70466020,28,Aspirin 300mg with Glycine 133mg soluble tablets,Aspirin,300mg + 133mg,Dissolving Tablets,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
