prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,vdd_code
68652,32686111000001104,69356021,151785,Strivit-D3 800unit capsules (Strides Pharma UK Ltd),Colecalciferol,800unit,Capsule,Oral,09060400,Vitamin D,January 2017,1
70809,34174411000001108,75885021,198,"SunVit-D3 50,000unit capsules (SunVit-D3 Ltd)",Colecalciferol,50000unit,Capsule,Oral,09060400,Vitamin D,December 2017,1
62085,24655711000001104,26987021,3867,"Colecalciferol 25,000units/1ml oral solution unit dose ampoules sugar free",Colecalciferol,25000unit/1ml,Oral solution,Oral,09060400,Vitamin D,January 2015,1
70474,34608211000001108,77477021,231661,Accrete D3 One a Day 1000mg/880unit chewable tablets (Internis Pharmaceuticals Ltd),Calcium carbonate/Colecalciferol,2.5gram + 880unit,Chewable tablet,Oral,09060400,Vitamin D,October 2017,1
56948,22193211000001108,15399021,51,"Vita-D3 1,000unit tablets (Forum Health Products Ltd)",Colecalciferol,1000unit,Tablet,Oral,09060400,Vitamin D,September 2013,1
74195,32846411000001104,69722021,2,"Natures Aid Vitamin D3 1,000unit tablets (Natures Aid Ltd)",Colecalciferol,1000unit,Tablet,Oral,09060400,Vitamin D,December 2018,1
47168,19181811000001100,00641021,17416,Pro D3 400unit capsules (Synergy Biologics Ltd),Colecalciferol,400unit,Capsule,Oral,09060400,Vitamin D,May 2012,1
74471,34448711000001108,76913021,14,"Sapvit-D3 14,400units/ml oral drops (Stirling Anglian Pharmaceuticals Ltd)",Colecalciferol,14400unit/1ml,Oral drops,Oral,09060400,Vitamin D,January 2019,1
62793,26655211000001104,31242021,36389,Colecalciferol 880unit / Calcium carbonate 2.5g chewable tablets,Calcium carbonate/Colecalciferol,2.5gram + 880unit,Chewable tablet,Oral,09060400,Vitamin D,April 2015,1
67358,16442011000001104,08012020,115,Colecalciferol 400unit / Calcium carbonate 1.5g chewable tablets (A A H Pharmaceuticals Ltd),Calcium carbonate/Colecalciferol,1.5gram + 400unit,Chewable tablet,Oral,09060400,Vitamin D,August 2016,1
51605,16398111000001102,07999020,2510,Calcichew D3 chewable tablets (Mawdsley-Brooks & Company Ltd),Calcium carbonate/Colecalciferol,1.25gram + 200unit,Chewable tablet,Oral,09060400,Vitamin D,January 2013,1
