prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
68181,0,52188021,Felodipine 5mg modified-release tablets (Sigma Pharmaceuticals Plc),Felodipine,5mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,November 2016
68499,1456,66909020,Felodipine sr 10mg Tablet (Approved Prescription Services Ltd),Felodipine,10mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,December 2016
44859,1405,66904020,Felodipine sr 5mg Tablet (Approved Prescription Services Ltd),Felodipine,5mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,March 2011
30557,166,87103020,Felogen XL 10mg tablets (Mylan),Felodipine,10mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
25572,427,86937020,Felogen XL 5mg tablets (Mylan),Felodipine,5mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
17566,8499,87067020,Felotens XL 10mg tablets (Thornton & Ross Ltd),Felodipine,10mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
37897,1804,94403020,Felotens XL 2.5mg tablets (Thornton & Ross Ltd),Felodipine,2.5mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
17557,12793,87065020,Felotens XL 5mg tablets (Thornton & Ross Ltd),Felodipine,5mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
65349,12,99314020,Folpik XL 10mg tablets (Teva UK Ltd),Felodipine,10mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2016
63331,17,99300020,Folpik XL 2.5mg tablets (Teva UK Ltd),Felodipine,2.5mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,June 2015
55306,72,99312020,Folpik XL 5mg tablets (Teva UK Ltd),Felodipine,5mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,May 2013
5277,17970,83624020,Fortipine LA 40 tablets (AMCo),Nifedipine,40mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
15715,19,85589020,Genalat retard 20mg Modified-release tablet (Wyeth Pharmaceuticals),Nifedipine,20mg,Modified-release Tablet,Oral,02060200,Calcium-channel Blockers,February 2009
60780,0,38011020,Generic Sevikar HCT 20mg/5mg/12.5mg tablets,Hydrochlorothiazide/Olmesartan medoxomil/Amlodipine besilate,12.5mg + 20mg + 5mg,Tablet,Oral,02050502,Angiotensin-ii Receptor Antagonists,August 2014
60007,0,38012020,Generic Sevikar HCT 40mg/10mg/12.5mg tablets,Amlodipine besilate/Hydrochlorothiazide/Olmesartan medoxomil,10mg + 12.5mg + 40mg,Tablet,Oral,02050502,Angiotensin-ii Receptor Antagonists,May 2014
67293,188,00876020,Half Securon SR 120mg tablets (Mawdsley-Brooks & Company Ltd),Verapamil hydrochloride,120mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,August 2016
3343,110632,56683020,Half Securon SR 120mg tablets (Mylan),Verapamil hydrochloride,120mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
47530,4,76823020,Horizem SR 60mg capsules (Horizon lifecare),Diltiazem hydrochloride,60mg,Modified-release capsule,Oral,02060200,Calcium-channel Blockers,August 2012
21216,154,87081020,Hypolar Retard 10mg tablets (Sandoz Ltd),Nifedipine,10mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
9485,956,50475020,Hypolar Retard 20 tablets (Sandoz Ltd),Nifedipine,20mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
23736,169,86128020,Hypolar XL 30 tablets (Sandoz Ltd),Nifedipine,30mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
8310,14794,69563020,Isradipine 2.5mg tablets,Isradipine,2.5mg,Tablet,Oral,02060200,Calcium-channel Blockers,February 2009
67662,0,02012020,Istin 10mg tablets (DE Pharmaceuticals),Amlodipine,10mg,Tablet,Oral,02060200,Calcium-channel Blockers,September 2016
5914,149337,72823020,Istin 10mg tablets (Pfizer Ltd),Amlodipine,10mg,Tablet,Oral,02060200,Calcium-channel Blockers,February 2009
