prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
8707,24093,54881020,Trandate 200mg tablets (Focus Pharmaceuticals Ltd),Labetalol hydrochloride,200mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
8807,8053,52545020,Trandate 400mg tablets (Focus Pharmaceuticals Ltd),Labetalol hydrochloride,400mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
9273,3256,54879020,Trandate 50mg tablets (Focus Pharmaceuticals Ltd),Labetalol hydrochloride,50mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
30636,7,72687020,Vasaten 50mg Tablet (Shire Pharmaceuticals Ltd),Atenolol,50mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
9143,31205,52285020,Viskaldix tablets (AMCo),Clopamide/Pindolol,5mg + 10mg,Tablet,Oral,02040100,Beta-adrenoceptor Blocking Drugs With Diuretic,February 2009
20012,1402,52292020,Visken 15mg Tablet (Sovereign Medical Ltd),Pindolol,15mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
32787,226,78135020,Visken 15mg tablets (AMCo),Pindolol,15mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
4588,4665,52291020,Visken 5mg Tablet (Sovereign Medical Ltd),Pindolol,5mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
35695,358,78143020,Visken 5mg tablets (AMCo),Pindolol,5mg,Tablet,Oral,02040000,Beta-adrenoceptor Blocking Drugs,February 2009
32630,28,77372020,Vivacor 10mg tablets (Lexon (UK) Ltd),Bisoprolol fumarate,10mg,Tablet,Oral,02040000/02050000/02100100,Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure/Management Of Myocardial Infarction,February 2009
39846,3,84559020,Vivacor 5mg tablets (Lexon (UK) Ltd),Bisoprolol fumarate,5mg,Tablet,Oral,02040000/02050000/02100100,Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure/Management Of Myocardial Infarction,August 2009
