medcode,readcode,readterm,incident
43939,NA,perc translumin balloon angioplasty stenting coronary artery,NA
44348,NA,percutaneous transluminal thrombolysis of artery,NA
44561,NA,autograft replacement of one coronary artery nec,NA
45370,NA,allograft replacement of four or more coronary arteries,NA
45476,NA,h/o: treatment for ischaemic heart disease,NA
45886,NA,allograft replacement of three coronary arteries,NA
45960,NA,antianginal therapy,NA
46227,NA,ecg: q wave abnormal,NA
46565,NA,Cardiac rehabilitation - phase 4,NA
47637,NA,[x]other forms of chronic ischaemic heart disease,NA
47798,NA,Coronary heart disease monitoring default,NA
48767,NA,allograft replacement of coronary artery nos,NA
48981,NA,Cardiovascular disease interim monitoring,NA
49201,NA,Plasma creatinine phosphokinase MB isoenzyme level,NA
51507,NA,single anastomosis of mammary artery to coronary artery nec,NA
51515,NA,saphenous vein graft replacement coronary artery nos,NA
52517,NA,[x]ischaemic heart diseases,NA
52938,NA,revision of bypass for one coronary artery,NA
54251,NA,preinfarction syndrome nos,NA
54535,NA,stenocardia,NA
55092,NA,replacement of coronary arteries using multiple methods,NA
55137,NA,mi - myocardial infarction aborted,NA
55598,NA,other replacement of coronary artery,NA
56990,NA,connection of mammary artery to coronary artery nos,NA
57062,NA,h/o: angina in last year,NA
57241,NA,allograft replacement of two coronary arteries,NA
57634,NA,revision of bypass for coronary artery nos,NA
58135,NA,radionuclide heart study abnormal,NA
59423,NA,other specified allograft replacement of coronary artery,NA
59689,NA,percutaneous transluminal arterial thrombolysis reconstruct,NA
60067,NA,perc translum ball angio insert 1-2 drug elut stents cor art,NA
60664,NA,cardiac enzymes abnormal - first set,NA
60753,NA,single implantation thoracic artery into coronary artery nec,NA
61072,NA,myocardial infarction aborted,NA
61208,NA,perc translum balloon angioplasty stenting coronary art nos,NA
61310,NA,other autograft replacement of coronary artery os,NA
62270,NA,ecg: q wave pathological,NA
62608,NA,double anastom thoracic arteries to coronary arteries nec,NA
64923,NA,prosthetic graft patch angioplasty,NA
66236,NA,prosthetic replacement of three coronary arteries,NA
66285,NA,ecg: q wave nos,NA
66388,NA,status anginosus,NA
66664,NA,prosthetic replacement of two coronary arteries,NA
66921,NA,percutaneous transluminal angioplasty of vascular graft,NA
67087,NA,Other cardiac wall aneurysm,NA
67554,NA,revision of bypass for two coronary arteries,NA
67591,NA,single anastomosis of thoracic artery to coronary artery nec,NA
67761,NA,prosthetic replacement of four or more coronary arteries,NA
68123,NA,rima single anastomosis,NA
68139,NA,single implantation of mammary artery into coronary artery,NA
68357,NA,microinfarction of heart,NA
68401,NA,[x]other forms of acute ischaemic heart disease,NA
68979,NA,[x]other forms of heart disease,NA
69776,NA,mechanical complication of coronary bypass,NA
70111,NA,allograft replacement of one coronary artery,NA
70160,NA,Coronary heart disease monitoring telephone invite,NA
70185,NA,percutaneous transluminal atherectomy,NA
70755,NA,replacement of coronary artery nos,NA
72780,NA,connection of other thoracic artery to coronary artery nos,NA
84367,NA,percutaneous transluminal venous thrombolysis nec,NA
85947,NA,perc translum balloon angioplasty insert 1-2 stents cor art,NA
86071,NA,percut translum cutting balloon angioplasty coronary artery,NA
86773,NA,percutaneous transluminal balloon angioplasty of artery,NA
87849,NA,perc tran ball angio ins 3 or more drug elut stents cor art,NA
92419,NA,prosthetic replacement of one coronary artery,NA
92927,NA,percutaneous cor balloon angiop 3 more stents cor art nec,NA
93618,NA,percutaneous transluminal atherectomy of coronary artery,NA
93828,NA,other specified replacement of coronary artery,NA
95550,NA,admit ischaemic heart disease emergency,NA
96537,NA,os perc translumina balloon angioplast stenting coronary art,NA
96804,NA,connection of other thoracic artery to coronary artery,NA
97953,NA,other specified revision of bypass for coronary artery,NA
100579,NA,[x]atherosclerosis of other arteries,NA
